id,primary_code,secondary_code,third_code,combo_code,created_at,updated_at
1,E119,E11649,,E11649,,
2,E119,E11339,,E11339,,
3,I639,G8333,,I69343,,
4,E139,E133521,,E133521,,
5,E139,E13610,,E13610,,
6,E139,E103291,,E103291,,
7,E139,E103399,,E103399,,
8,E139,E103519,,E103519,,
9,E139,E103549,,E103549,,
10,E139,E1037X3,,E1037X3,,
11,E139,E10610,,E10610,,
12,E139,E0800,,E0800,,
13,E139,E083219,,E083219,,
14,E139,E083399,,E083399,,
15,E139,E083519,,E083519,,
16,E139,E083549,,E083549,,
17,E139,E0837X3,,E0837X3,,
18,E139,E08610,,E08610,,
19,E139,E0900,,E0900,,
20,E139,E093219,,E093219,,
21,E139,E093399,,E093399,,
22,E139,E093519,,E093519,,
23,E139,E093549,,E093549,,
24,E139,E0937X3,,E0937X3,,
25,I25810,I208,,I25732,,
26,I25810,I209,,I25769,,
27,E0590,Q5300,,E0530,,
28,E09,G629,,E0942,,
29,E09,K3184,,E0943,,
30,E10,N189,,E1022,,
31,E139,N189,,E0922,,
32,E119,N189,,E0922,,
33,E089,G589,,E0941,,
34,E089,L98499,,E09622,,
35,I70201,L97409,,I70234,,
36,M069,F840,,M0530,,
37,C9200,C9260,,C9260,,
38,A419,R6520,,R6520,,
39,D571,D5700,,D5700,,
40,D5720,D57219,,D57219,,
41,D569,D57414,,D57414,,
42,G1190,g113,,g113,,
43,D464,D4622,,D4622,,
44,E139,E088,,E088,,
45,D5740,D57458,,D57458,,
46,F0150,F0153,,F0153,,
47,F028,F02A2,,F02A2,,
48,A419,B999,,T8460,,
49,E0590,E049,,E0510,,
50,E139,E08638,,E08638,,
51,E119,E0929,,E13618,,
52,E139,E0929,,E0929,,
53,E109,E0939,,E1049,,
54,E139,E0939,,E0939,,
55,E139,E0949,,E0944,,
56,E139,E0959,,E0959,,
57,I2510,E09638,,I25118,,
58,E139,E09638,,E09638,,
59,E109,E0969,,E1069,,
60,E139,E0969,,E0969,,
61,A389,E1029,,a380,,
62,E139,E1049,,E0943,,
63,A419,E10628,,A4159,,
64,E109,E10628,,E10638,,
65,E139,E10638,,E0949,,
66,A389,E10638,,a380,,
67,E119,E1069,,E11622,,
68,E119,E1139,,E1149,,
69,E119,E1149,,E0940,,
70,A419,E11628,,A4159,,
71,I10,E11628,,I151,,
72,E785,E1169,,E7849,,
73,E119,E1349,,E11610,,
74,E139,E13638,,E0849,,
75,E119,E162,,E13641,,
76,E139,E162,,E09641,,
77,E139,E162,,E08641,,
78,E119,E162,,E09649,,
79,E119,E162,,E13649,,
80,E139,E785,,E0869,,
81,E119,E870,,E0800,,
